Block,Center Coord,
100699,|[40.75112041900711,-74.00352542957684]|
100700,|[40.75160639774563,-74.00317559869366]|
100701,|[40.75231345006436,-74.00265535713433]|
100702,|[40.75278176685434,-74.00192907440909]|
100704,|[40.75473599206734,-74.0022159182117]|
100705,|[40.754656799831224,-74.00094268883674]|
100706,|[40.755179955747124,-73.99972416367]|
100707,|[40.7558101526145,-73.99866106313944]|
100708,|[40.756756811098846,-73.99941843829902]|
100709,|[40.757336390328284,-73.9989535171305]|
100710,|[40.757938427280116,-73.9983540343557]|
100712,|[40.741808886878395,-74.00656232573408]|
100713,|[40.74247281699296,-74.0061096555054]|
100714,|[40.74320750370245,-74.00557977953164]|
100715,|[40.74381684206999,-74.00546429210772]|
100716,|[40.74435095878668,-74.00474401208675]|
100717,|[40.744887981278296,-74.004469930591]|
100718,|[40.74542221612754,-74.0039213718099]|
100719,|[40.74602708598338,-74.00352365644382]|
100720,|[40.74665954289472,-74.0030399822898]|
100721,|[40.747760307154095,-74.00350052277233]|
100722,|[40.74798780673879,-74.00209774077587]|
100723,|[40.74850255211788,-74.0013084655308]|
100724,|[40.74932777539348,-74.0009657614276]|
100726,|[40.75045805404761,-74.00028870494708]|
100727,|[40.751077628725184,-73.99984195307829]|
100728,|[40.751763929006636,-73.99902532940783]|
100729,|[40.75281409180337,-73.99949162818456]|
100731,|[40.753584919222696,-73.998013481116]|
100732,|[40.754324653006904,-73.99748103184254]|
100733,|[40.755032456776576,-73.99715379803945]|
100734,|[40.75551189834803,-73.99651217990103]|
100735,|[40.75609461396657,-73.99616915405777]|
100736,|[40.75674558131071,-73.99571208817267]|
100737,|[40.75693589200661,-73.99428585731422]|
100738,|[40.74061730895011,-74.00369263988445]|
100739,|[40.74127619922817,-74.00326882960499]|
100740,|[40.74189743489113,-74.00281312350961]|
100741,|[40.74248436051239,-74.00238459157526]|
100742,|[40.743058693878886,-74.00196326833344]|
100743,|[40.7436555426465,-74.00153568570221]|
100744,|[40.74422624258432,-74.001119456627]|
100745,|[40.744836637170735,-74.00067456947478]|
100746,|[40.74545835639932,-74.00021617343677]|
100747,|[40.74575450268709,-73.99892401802907]|
100748,|[40.74670279297563,-73.99942337888906]|
100749,|[40.747615529366996,-73.99917690626516]|
100751,|[40.74841358237575,-73.9980413539939]|
100752,|[40.749780437737854,-73.99845482543031]|
100753,|[40.74987027735543,-73.99699879950687]|
100754,|[40.750478368846814,-73.99656418976049]|
100755,|[40.75138446544939,-73.99600312225328]|
100757,|[40.752352388598325,-73.99519577841062]|
100758,|[40.75306810350794,-73.994680038848]|
100759,|[40.75370374089868,-73.99414931825379]|
100760,|[40.75434244760264,-73.99375076865876]|
100761,|[40.75492109909884,-73.99332787396216]|
100762,|[40.75554047132704,-73.99287934407101]|
100763,|[40.7561599740672,-73.9924284567484]|
100764,|[40.73944609753357,-74.00089054730827]|
100765,|[40.740040613822,-74.00032806105446]|
100766,|[40.74070303846814,-73.99997083616692]|
100767,|[40.74128725901933,-73.99954841798635]|
100768,|[40.74187631528994,-73.99912850896837]|
100769,|[40.7424612795962,-73.99869385161128]|
100770,|[40.74303793190488,-73.9982469375463]|
100771,|[40.7436411749725,-73.99783576836705]|
100772,|[40.74425743106461,-73.99738541486443]|
100773,|[40.74496997504244,-73.99685896891273]|
100774,|[40.74559399056368,-73.99641357358861]|
100775,|[40.74621030063037,-73.99596515842522]|
100776,|[40.74684044350137,-73.99550145386323]|
100777,|[40.747427283558864,-73.99505311938921]|
100778,|[40.74806296013003,-73.99460772175523]|
100779,|[40.74868510389105,-73.99417060401467]|
100780,|[40.74929316365148,-73.99371950561813]|
100781,|[40.75018882770695,-73.99306706429775]|
100783,|[40.75117243240483,-73.99238749679436]|
100784,|[40.75187144405783,-73.99184183024255]|
100785,|[40.75248942596316,-73.99139046710495]|
100786,|[40.75300746755156,-73.9907007000675]|
100787,|[40.75372421038459,-73.99048502191178]|
100788,|[40.75434280652355,-73.99003714995476]|
100789,|[40.75495874963899,-73.98958730017041]|
100790,|[40.738248860520685,-73.99806177456492]|
100791,|[40.738882927399345,-73.99758768434472]|
100792,|[40.73948685671776,-73.99714727072428]|
100793,|[40.740088808015614,-73.99670720946975]|
100794,|[40.74061615605889,-73.99613409648993]|
100795,|[40.74126405581012,-73.99585178506635]|
100796,|[40.74184769460577,-73.99543139611362]|
100797,|[40.74244659542013,-73.99499336166598]|
100798,|[40.74306151096009,-73.9945423491102]|
100799,|[40.743775900350684,-73.99402133668417]|
100800,|[40.7443956230172,-73.99357484906336]|
100801,|[40.744987159581854,-73.99313671797981]|
100802,|[40.74562868167343,-73.9926661103753]|
100803,|[40.746248385752246,-73.99221722042354]|
100804,|[40.74690208157183,-73.99185600042404]|
100805,|[40.74747382970521,-73.99129401673804]|
100806,|[40.74822542860895,-73.9911789190395]|
100807,|[40.74870775318374,-73.9903968909053]|
100808,|[40.74932982846537,-73.98995077951616]|
100809,|[40.749947038165836,-73.9895053816243]|
100810,|[40.75069989246208,-73.98907449670102]|
100811,|[40.751242328428376,-73.98858269007721]|
100812,|[40.75191394104764,-73.98810387400293]|
100813,|[40.75252891753367,-73.98764674289097]|
100814,|[40.75314821467754,-73.98720039615381]|
100815,|[40.753728124682766,-73.98669615288443]|
100816,|[40.73696419068504,-73.9950234849845]|
100817,|[40.73760829282111,-73.99454649102383]|
100818,|[40.73822812971976,-73.99410796899795]|
100819,|[40.73881385051417,-73.99367420367551]|
100820,|[40.739395307746676,-73.99324797948404]|
100821,|[40.73998444509649,-73.99283047661862]|
100822,|[40.74062966634926,-73.99235045024105]|
100823,|[40.741163077407265,-73.99195992254998]|
100824,|[40.74178486663598,-73.99151132615671]|
100825,|[40.74248363979336,-73.99095027937848]|
100826,|[40.74318189965284,-73.99067832606254]|
100827,|[40.74373342791178,-73.99008555251663]|
100828,|[40.74440960157615,-73.98945334257527]|
100829,|[40.74497250020195,-73.98918924410191]|
100830,|[40.745590998585385,-73.98873825956828]|
100831,|[40.746225090285506,-73.98829840628696]|
100832,|[40.746885803735545,-73.9877953672181]|
100833,|[40.74743838824246,-73.98738731810178]|
100834,|[40.74802783127575,-73.9868650181651]|
100835,|[40.748663266752004,-73.98643897051993]|
100836,|[40.74940199636155,-73.98596770660784]|
100837,|[40.75005472525706,-73.98549095433768]|
100838,|[40.75063234870273,-73.98506623506466]|
100839,|[40.751253761566,-73.98461229258041]|
100840,|[40.75186496062652,-73.98417822954212]|
100841,|[40.75256876463841,-73.98391141537667]|
100842,|[40.735883124664724,-73.99243727767279]|
100843,|[40.73651364159622,-73.99196467975491]|
100844,|[40.737139208270975,-73.99151257359858]|
100845,|[40.73535680174257,-73.9901500895881]|
100846,|[40.7374547933516,-73.99045926041558]|
100847,|[40.73804116104084,-73.99002653920769]|
100848,|[40.738630770455174,-73.9896109356672]|
100849,|[40.73921491243423,-73.98917213092795]|
100850,|[40.739803186512816,-73.98874911350268]|
100851,|[40.7404330322888,-73.98829286621007]|
100852,|[40.74150711283181,-73.98819267751333]|
100853,|[40.74081562838433,-73.98698829503272]|
100854,|[40.74143277750876,-73.98653964708392]|
100855,|[40.74204185099964,-73.98606904717013]|
100856,|[40.74300060585276,-73.98642948383466]|
100857,|[40.74361484974744,-73.98597168148574]|
100858,|[40.74421246443165,-73.98553581032711]|
100859,|[40.74485011977373,-73.98506674623437]|
100860,|[40.745470903449046,-73.98462125130177]|
100861,|[40.74615840635857,-73.98434597714228]|
100862,|[40.74671619422807,-73.98374587562897]|
100863,|[40.74733886651518,-73.98329849244124]|
100864,|[40.74791952289835,-73.98221949122873]|
100865,|[40.748670396974475,-73.98232905831566]|
100866,|[40.749288859782595,-73.98188120379331]|
100867,|[40.749907306190615,-73.98143079276896]|
100868,|[40.75052360849985,-73.9809808974972]|
100869,|[40.75114458930646,-73.98052521805548]|
100870,|[40.73446279106615,-73.98863425554015]|
100871,|[40.73489786691485,-73.98811645861512]|
100872,|[40.73551950212223,-73.98765891951828]|
100873,|[40.73609842374063,-73.98723830018683]|
100874,|[40.7366901830771,-73.98680890550855]|
100875,|[40.737273679078946,-73.98638191744584]|
100876,|[40.737857450357765,-73.98595441812122]|
100877,|[40.73854753774877,-73.98545407320049]|
100878,|[40.739071485496424,-73.98507426143016]|
100879,|[40.73979279604726,-73.98455150419912]|
100880,|[40.74040385768685,-73.98410000938225]|
100881,|[40.74101252245286,-73.98365694492676]|
100882,|[40.741641160639546,-73.98320117497713]|
100883,|[40.74225636021437,-73.98274759762097]|
100884,|[40.74287806139586,-73.98228949494083]|
100885,|[40.74353070718449,-73.98182921440943]|
100886,|[40.74410972126347,-73.98141450521595]|
100887,|[40.74476111993417,-73.98093957503689]|
100888,|[40.74533474782417,-73.98046564500854]|
100889,|[40.746007279864486,-73.97994066250263]|
100890,|[40.74665413416746,-73.97950769485305]|
100891,|[40.74727162361357,-73.97905270159862]|
100892,|[40.74790361676696,-73.97859261582735]|
100893,|[40.74852294430836,-73.97816412313603]|
100894,|[40.74914170972636,-73.97769524141177]|
100895,|[40.749758796910726,-73.97724273953611]|
100896,|[40.733095638088685,-73.98586168084574]|
100897,|[40.73399052230745,-73.98536593888493]|
100898,|[40.734958235530414,-73.98445831813046]|
100899,|[40.735537749262235,-73.98407568768093]|
100900,|[40.736121584695155,-73.98365333033303]|
100901,|[40.73670861772283,-73.98322442599076]|
100902,|[40.737286193614324,-73.98281606462825]|
100903,|[40.73794499488655,-73.98232671367651]|
100904,|[40.73863072890602,-73.98183263316747]|
100905,|[40.73929294849816,-73.98134649720011]|
100906,|[40.73987122110243,-73.98092012971287]|
100907,|[40.74050152484744,-73.9804893705825]|
100908,|[40.741111704492155,-73.98002842282577]|
100909,|[40.74172620704276,-73.97956558072245]|
100910,|[40.74240245662966,-73.97907377566614]|
100911,|[40.742975970560536,-73.97865766787197]|
100912,|[40.74356115418065,-73.97817484787551]|
100913,|[40.74417998558427,-73.977748565996]|
100914,|[40.744814780010856,-73.97732073171017]|
100915,|[40.74552988264763,-73.97679661144838]|
100916,|[40.74614581940892,-73.97634759328207]|
100917,|[40.746892316310856,-73.97618436149192]|
100918,|[40.74738462135439,-73.97544546155757]|
100919,|[40.74801556571646,-73.9749858869445]|
100920,|[40.748595122401994,-73.97449873919257]|
100921,|[40.73213805514841,-73.9835265470274]|
100922,|[40.73292607353474,-73.98283419542773]|
100923,|[40.733998267150994,-73.98218039866111]|
100924,|[40.73452440076727,-73.98180613444896]|
100925,|[40.735192323571844,-73.98118162808717]|
100926,|[40.73566821234408,-73.98049842984213]|
100927,|[40.736329986851885,-73.98048677199617]|
100928,|[40.736947136692656,-73.98003290013591]|
100929,|[40.73780718902261,-73.97950478389754]|
100930,|[40.738255539054265,-73.97908911867214]|
100931,|[40.738791700747484,-73.97837407065953]|
100932,|[40.73931152036481,-73.97753049792283]|
100933,|[40.73988776950313,-73.97708879422922]|
100934,|[40.7400620378984,-73.97814914368523]|
100935,|[40.74143290073939,-73.9767618487191]|
100936,|[40.74232368976124,-73.9760912597972]|
100939,|[40.743828513767056,-73.97497426899798]|
100940,|[40.74464918606084,-73.97442663068843]|
100941,|[40.74492621265852,-73.97327230128194]|
100942,|[40.746178744570486,-73.97439668241853]|
100943,|[40.74647752280768,-73.97338878798749]|
100944,|[40.747028918094394,-73.97269004359025]|
100945,|[40.747804716980106,-73.97253675430852]|
100955,|[40.73673542578423,-73.97734906964108]|
100962,|[40.74061041527954,-73.97433419427784]|
100966,|[40.74368711385382,-73.97241418995503]|
100967,|[40.7444248840843,-73.9724341526539]|
100968,|[40.745119594724095,-73.9716670115508]|
100969,|[40.74563708926663,-73.97130441010034]|
100972,|[40.72908585282836,-73.97597098903724]|
100978,|[40.7350343157885,-73.97917952744439]|
100981,|[40.736089418320006,-73.97573438318709]|
100988,|[40.72727998668985,-73.97261946031023]|
100990,|[40.728272791909944,-73.97249098904446]|
100991,|[40.73639146238661,-73.97360635799467]|
100993,|[40.7543827351358,-73.98629716295831]|
100994,|[40.75500481852897,-73.98586113510555]|
100995,|[40.75569550500917,-73.98536521522121]|
100996,|[40.75628552434158,-73.98473116726748]|
100997,|[40.75701086435914,-73.98437183921466]|
100998,|[40.75760166886863,-73.98395203313135]|
100999,|[40.758366956335685,-73.98379041884922]|
101000,|[40.75884017954375,-73.98310128254144]|
101001,|[40.75956597985775,-73.9827516731873]|
101002,|[40.760194850698014,-73.98228854323763]|
101003,|[40.76077871487051,-73.98173188097553]|
101004,|[40.761378397217904,-73.98122922402129]|
101005,|[40.76203769819695,-73.98082120986044]|
101006,|[40.762606944698646,-73.98027918919509]|
101007,|[40.76327895520347,-73.97993803920741]|
101008,|[40.763893156303254,-73.97935749941554]|
101009,|[40.764481977729865,-73.97894280310906]|
101010,|[40.76520190765106,-73.97840587007556]|
101011,|[40.765831744997485,-73.97795238975013]|
101012,|[40.75560077493892,-73.98914428153412]|
101013,|[40.75619419425331,-73.98865358722438]|
101014,|[40.7569240039594,-73.98818470282109]|
101015,|[40.7575414866385,-73.98770888740333]|
101016,|[40.7581709053362,-73.98728368300334]|
101017,|[40.75878299927443,-73.9867628784499]|
101018,|[40.759483183301384,-73.98650042091154]|
101019,|[40.7600466686193,-73.9858882788308]|
101020,|[40.760675083102896,-73.98542387221943]|
101021,|[40.761292694341066,-73.98496215563422]|
101022,|[40.76192039928509,-73.98451163106549]|
101023,|[40.76254889589552,-73.98405849458096]|
101024,|[40.763168103254685,-73.98361257174513]|
101025,|[40.763833408406654,-73.98317151267842]|
101026,|[40.76441726764246,-73.98266893214581]|
101027,|[40.76505332288392,-73.98223640704782]|
101028,|[40.765682976881834,-73.98171883794667]|
101029,|[40.76640054729055,-73.98124019141511]|
101030,|[40.766983974235785,-73.98072789882713]|
101032,|[40.756979088067936,-73.99182992749394]|
101033,|[40.758134909063564,-73.99098856770055]|
101034,|[40.75873603069148,-73.99055259462833]|
101035,|[40.75936472801175,-73.99009510841137]|
101036,|[40.759971090243255,-73.98965179986268]|
101037,|[40.7781934245381,-73.97516426099514]|
101038,|[40.76124458873424,-73.98872687993929]|
101039,|[40.76186963703972,-73.98826929876475]|
101040,|[40.76230736654426,-73.9873686991798]|
101041,|[40.76312027837365,-73.98735801228668]|
101042,|[40.7637391114761,-73.98691202416349]|
101043,|[40.76437470943281,-73.98644515560039]|
101044,|[40.76496600835884,-73.9859054929567]|
101045,|[40.7656240902988,-73.98553090414293]|
101046,|[40.76621271684686,-73.98510303639407]|
101047,|[40.76681429694702,-73.98458730888416]|
101048,|[40.767599900547495,-73.98409005855257]|
101049,|[40.76867664551234,-73.98338982566544]|
101050,|[40.75781615445263,-73.99467990519405]|
101051,|[40.758718570386854,-73.99449890352304]|
101052,|[40.75950577309655,-73.99364316384477]|
101053,|[40.75996169778425,-73.99345442290243]|
101054,|[40.76056058078596,-73.9929311732878]|
101055,|[40.761187184128076,-73.99247847415675]|
101056,|[40.761861904082146,-73.99207563174241]|
101057,|[40.762361179770046,-73.99136712755364]|
101058,|[40.763054695554175,-73.99112134555136]|
101059,|[40.763674755137075,-73.99066232202586]|
101060,|[40.7643160439533,-73.99019857143468]|
101061,|[40.76494379540266,-73.98973834499128]|
101062,|[40.76552644615003,-73.98919928189838]|
101063,|[40.76617654669775,-73.98883864231821]|
101064,|[40.76681303723956,-73.98838628418616]|
101065,|[40.76745899446183,-73.98790453163107]|
101066,|[40.76804434403347,-73.98749105375879]|
101067,|[40.768808180507655,-73.9869569071736]|
101068,|[40.76938684639558,-73.98639217051202]|
101069,|[40.759122895352434,-73.99747277447871]|
101070,|[40.75978864286995,-73.99720954652639]|
101071,|[40.7604919591575,-73.9967051854832]|
101072,|[40.761187160655425,-73.99609580535426]|
101073,|[40.76184508459556,-73.99594655321894]|
101074,|[40.7623519292996,-73.99524646840459]|
101075,|[40.76292218942881,-73.99465309013846]|
101076,|[40.76363418058776,-73.99440378775077]|
101077,|[40.764361139249374,-73.99419322118436]|
101078,|[40.764896094845405,-73.9935063331387]|
101079,|[40.765608727729244,-73.99294626630757]|
101080,|[40.76611077728706,-73.99260793949676]|
101081,|[40.7668478173549,-73.99206791210224]|
101082,|[40.7673952488746,-73.99168259598117]|
101083,|[40.76783941019265,-73.99088797763251]|
101084,|[40.76864655850878,-73.99075974207838]|
101085,|[40.76930644490878,-73.99038332702094]|
101086,|[40.769988962299294,-73.98972266488272]|
101087,|[40.77071329238234,-73.98955333511293]|
101088,|[40.76036228770414,-74.00051503104794]|
101089,|[40.76094290160614,-74.00008889099729]|
101090,|[40.761664993956444,-73.99943661168453]|
101091,|[40.76223089524002,-73.99882138640437]|
101092,|[40.762817234138666,-73.99828900852822]|
101093,|[40.76332852736769,-73.99731482596393]|
101094,|[40.76402047057513,-73.99732819398125]|
101095,|[40.76466679204711,-73.99685186174851]|
101096,|[40.76525236984551,-73.9964262004221]|
101097,|[40.765656104223595,-73.99525235816249]|
101098,|[40.76652272284271,-73.99550313000233]|
101099,|[40.767175308288,-73.99502420331984]|
101100,|[40.76819775667518,-73.99463944087626]|
101102,|[40.76905065179362,-73.99366260722883]|
101103,|[40.76971893280924,-73.99323738570062]|
101104,|[40.77038278973718,-73.9929333517498]|
101105,|[40.771147061385875,-73.99263120239667]|
101106,|[40.771817517111316,-73.99216034329478]|
101107,|[40.764855122771934,-74.00104100902234]|
101109,|[40.76954883699307,-73.99763759462118]|
101111,|[40.78336894004626,-73.96444914157607]|
101113,|[40.76963215497627,-73.98259667221953]|
101114,|[40.77024690864789,-73.98249147646692]|
101115,|[40.77072755317169,-73.98180254146902]|
101116,|[40.77141439831358,-73.98099548420868]|
101117,|[40.772138695779184,-73.98077964677591]|
101118,|[40.77260484978935,-73.98043613084855]|
101119,|[40.77323495870888,-73.97997890701768]|
101120,|[40.77385932251994,-73.97952539033551]|
101121,|[40.774506607321584,-73.97906806251211]|
101122,|[40.77512871313439,-73.97860101144533]|
101123,|[40.775737256274084,-73.9781584727552]|
101124,|[40.776365680378156,-73.97769706372125]|
101125,|[40.777095265449844,-73.97716338498913]|
101126,|[40.77773578281111,-73.97669570752342]|
101127,|[40.77834063752341,-73.97618777931024]|
101128,|[40.77900206528099,-73.97577377271236]|
101129,|[40.77963660518408,-73.97531439747021]|
101130,|[40.781278773545736,-73.97415068299969]|
101131,|[40.770050368674674,-73.98602637623321]|
101132,|[40.771041110144644,-73.9852042556193]|
101134,|[40.77244000117443,-73.98439196805955]|
101137,|[40.773798189853196,-73.98351415062461]|
101138,|[40.77443356130671,-73.98282237246045]|
101139,|[40.77505636286274,-73.98234335054426]|
101140,|[40.77568179046938,-73.98191297281504]|
101141,|[40.77643673829852,-73.981362737196]|
101142,|[40.77684878039413,-73.98077463339959]|
101143,|[40.77754525622126,-73.98049887264145]|
101144,|[40.77829313559282,-73.98000762983881]|
101145,|[40.77893408620109,-73.97954135670474]|
101146,|[40.77956271806851,-73.97908160178923]|
101147,|[40.780189056845,-73.97861178064522]|
101148,|[40.780955446977714,-73.97844940325524]|
101149,|[40.781567643340736,-73.9776195842875]|
101150,|[40.78209947801888,-73.97722711980467]|
101151,|[40.77124521675309,-73.98886188889401]|
101152,|[40.77196508385887,-73.9886365497848]|
101154,|[40.77278529869152,-73.98791206530316]|
101156,|[40.77435989086281,-73.98659087026373]|
101157,|[40.77501974513849,-73.9861140974034]|
101158,|[40.77625931567077,-73.98503853397597]|
101162,|[40.77815752262269,-73.98388809355967]|
101163,|[40.77877832568071,-73.98340897136354]|
101164,|[40.77949080007919,-73.98294563986195]|
101165,|[40.7801251527264,-73.9823830648005]|
101166,|[40.780761028136816,-73.9819194170811]|
101167,|[40.78139576507269,-73.98145943956504]|
101168,|[40.78202690838066,-73.9809874134753]|
101169,|[40.78266549988156,-73.98053533859829]|
101170,|[40.783313862911136,-73.98007601919389]|
101171,|[40.77521660962171,-73.99006093350621]|
101179,|[40.777134291274635,-73.98726895417796]|
101182,|[40.77914715012225,-73.98625910262349]|
101183,|[40.779911043277764,-73.98581862400317]|
101184,|[40.780870208331535,-73.98464071786292]|
101185,|[40.782580610684526,-73.9836198538256]|
101186,|[40.783833686049704,-73.98265072927268]|
101187,|[40.783281910426055,-73.986115456059]|
101195,|[40.78290522629988,-73.97292565408061]|
101196,|[40.78353767929376,-73.97246442110189]|
101197,|[40.784173333451385,-73.97200252662844]|
101198,|[40.78480289210654,-73.97151882389335]|
101199,|[40.78544127227822,-73.97107477029743]|
101200,|[40.78617201249885,-73.97054444489976]|
101201,|[40.786796624209835,-73.97008813891298]|
101202,|[40.787413849382595,-73.96960229635204]|
101203,|[40.788060620598,-73.96913508478136]|
101204,|[40.788706168802904,-73.96866276127987]|
101205,|[40.78930284973799,-73.96823679220185]|
101206,|[40.78994449197484,-73.96775180102568]|
101207,|[40.79047070918177,-73.96714655314773]|
101208,|[40.79130745904991,-73.9667327728437]|
101209,|[40.791694939161964,-73.9662702191089]|
101210,|[40.78283298749953,-73.97669619993633]|
101211,|[40.783466980465285,-73.97623444838612]|
101212,|[40.78410066680801,-73.97576976881186]|
101213,|[40.784802315819206,-73.9752618114623]|
101214,|[40.7854014081034,-73.9748454920749]|
101215,|[40.78608685852987,-73.97432329208716]|
101216,|[40.78669935139793,-73.97387382888105]|
101217,|[40.78737222720322,-73.97340416671179]|
101218,|[40.78796941238444,-73.97291894875698]|
101219,|[40.78862000786479,-73.9724432355149]|
101220,|[40.78925167751552,-73.97201433584758]|
101221,|[40.7898476658004,-73.97153710145204]|
101222,|[40.79051094648062,-73.9711220604903]|
101223,|[40.79110394122266,-73.97058720321618]|
101224,|[40.79176978090693,-73.97019806356414]|
101225,|[40.79239725043921,-73.9697203486597]|
101226,|[40.793024710642506,-73.96923614268906]|
101227,|[40.7840318718043,-73.97953755565715]|
101228,|[40.784664489618784,-73.9790750597588]|
101229,|[40.78529902585053,-73.97861361018187]|
101230,|[40.785932982790044,-73.97814820006363]|
101231,|[40.786566258987754,-73.9776866733786]|
101232,|[40.78720496339102,-73.97722182094591]|
101233,|[40.78784110562553,-73.97675707093028]|
101234,|[40.788569116978465,-73.9762277178385]|
101235,|[40.78919417524349,-73.97577498786487]|
101236,|[40.78982171737115,-73.97531395626652]|
101237,|[40.7904125527577,-73.9748790185737]|
101238,|[40.79107533481903,-73.97440255619637]|
101239,|[40.791704525344706,-73.97393747562876]|
101240,|[40.79233000318674,-73.9734835044689]|
101241,|[40.79298957214044,-73.97302368348804]|
101242,|[40.793573809951155,-73.97257448790377]|
101243,|[40.79421312918369,-73.97211195851378]|
101244,|[40.78535937727254,-73.98138099981986]|
101245,|[40.78711494786785,-73.98029864735452]|
101246,|[40.78830436239774,-73.9798307275064]|
101247,|[40.7889701321124,-73.97944716087761]|
101248,|[40.789694516123475,-73.97890231246357]|
101249,|[40.79032342398244,-73.97845767750582]|
101250,|[40.79108881852183,-73.97776469868344]|
101251,|[40.79223679036281,-73.97648229110717]|
101252,|[40.793506728068266,-73.97562953201302]|
101253,|[40.79480721114474,-73.97493524635459]|
101254,|[40.78643079963087,-73.98410998808781]|
101257,|[40.75303954157028,-73.98236302622054]|
101258,|[40.75442828907668,-73.98227810773304]|
101259,|[40.75512139268194,-73.98196720093269]|
101260,|[40.7556924962228,-73.9813791595399]|
101261,|[40.7561308823213,-73.98048358546998]|
101262,|[40.75694499111719,-73.9804672963518]|
101263,|[40.75756761407445,-73.98001293230561]|
101264,|[40.75802695756586,-73.97919323917404]|
101265,|[40.75892772963154,-73.97902844609024]|
101266,|[40.75973766661265,-73.97933237822609]|
101267,|[40.76007403503408,-73.97818498691373]|
101268,|[40.76069944863686,-73.97767083374713]|
101269,|[40.76133325402506,-73.97725338398085]|
101270,|[40.761938803285595,-73.97680219077222]|
101271,|[40.76256578743455,-73.97634545770312]|
101272,|[40.76320566255747,-73.97589599426182]|
101273,|[40.76398022022824,-73.97550601856307]|
101274,|[40.764674952286924,-73.97522794091597]|
101275,|[40.75177724733384,-73.98006584972694]|
101276,|[40.752328848061595,-73.97948412665608]|
101277,|[40.75321805004329,-73.97938974963765]|
101278,|[40.753849236899384,-73.97893897239794]|
101279,|[40.7544638846238,-73.97847814757912]|
101280,|[40.75264130362059,-73.97660599790333]|
101281,|[40.75509402877809,-73.97802487896658]|
101282,|[40.7556062785753,-73.97727024265316]|
101283,|[40.75625859519418,-73.97686392595061]|
101284,|[40.75686358359372,-73.97638641181716]|
101285,|[40.75748318919405,-73.97590123743049]|
101286,|[40.75797406810918,-73.97478077515468]|
101287,|[40.7587297399537,-73.97499504750496]|
101288,|[40.75935346586614,-73.97453659835853]|
101289,|[40.75998145915504,-73.97408435985517]|
101290,|[40.76060848455796,-73.97362620146998]|
101291,|[40.761235248126916,-73.97317054538162]|
101292,|[40.76185351070792,-73.9727156090176]|
101293,|[40.76258251000705,-73.97218551768262]|
101294,|[40.76312318004392,-73.97155462515755]|
101295,|[40.75044499301535,-73.97669450990475]|
101296,|[40.75099495493449,-73.97634169671348]|
101297,|[40.75139062754941,-73.97506103216935]|
101298,|[40.75201573558232,-73.97457992974097]|
101299,|[40.7526450651352,-73.9741478042371]|
101300,|[40.75376630240806,-73.9748641424116]|
101301,|[40.75420074873822,-73.97394179502115]|
101302,|[40.7548219088078,-73.97349158203161]|
101303,|[40.755501156003355,-73.97318643245201]|
101304,|[40.756108734912495,-73.9726344495709]|
101305,|[40.75675758436328,-73.97209787557719]|
101306,|[40.7574212114394,-73.97159072516149]|
101307,|[40.757921488120786,-73.97109564964853]|
101308,|[40.758577648290625,-73.97075147978728]|
101309,|[40.75923499600561,-73.97035086346185]|
101310,|[40.759849166046976,-73.96988637138756]|
101311,|[40.76047384842575,-73.96944085966534]|
101312,|[40.761198466214324,-73.96890527465987]|
101313,|[40.76182003225402,-73.96845392911106]|
101314,|[40.749266408798746,-73.97408634454871]|
101315,|[40.74984444982473,-73.97366154784496]|
101316,|[40.7506083644865,-73.97309897107868]|
101317,|[40.75119748749553,-73.97266345050349]|
101318,|[40.75189859355528,-73.97228263663291]|
101319,|[40.752448380631954,-73.97175198678428]|
101320,|[40.753102724212745,-73.97136894248872]|
101321,|[40.75371534956284,-73.97084793001713]|
101322,|[40.754325988158485,-73.97035757544637]|
101323,|[40.75498107686413,-73.96998972293089]|
101324,|[40.75567930228988,-73.9694076000142]|
101325,|[40.75620889040044,-73.9690164717123]|
101326,|[40.756826184466576,-73.96849185493343]|
101327,|[40.75747190571329,-73.96805316688248]|
101328,|[40.75808168464187,-73.967620213494]|
101329,|[40.758637834013996,-73.96704639486974]|
101330,|[40.759407549663635,-73.96690150686538]|
101331,|[40.76006018886913,-73.96620584395606]|
101332,|[40.76069751144435,-73.96576075382707]|
101333,|[40.74826827785523,-73.97179557159316]|
101334,|[40.74891727151502,-73.97141704236144]|
101335,|[40.74963533390124,-73.9708968552111]|
101336,|[40.750251730456064,-73.97034347532914]|
101337,|[40.75089205609096,-73.96987813514883]|
101338,|[40.7514843694813,-73.96943668377666]|
101339,|[40.75202518252719,-73.96907927741876]|
101340,|[40.752789849441214,-73.96858906804933]|
101341,|[40.753381051933786,-73.96807016628625]|
101342,|[40.75395532784131,-73.96761746537999]|
101343,|[40.75461467959957,-73.96714826728417]|
101344,|[40.75523658136799,-73.96671218744996]|
101345,|[40.75586063739651,-73.96625360581662]|
101346,|[40.75647959452884,-73.96579805562862]|
101347,|[40.75714345520466,-73.96540928025486]|
101348,|[40.75780617609496,-73.96512987907235]|
101349,|[40.75836451973208,-73.96443034368602]|
101350,|[40.75913984136234,-73.96386838061918]|
101351,|[40.75970119915641,-73.96343925048038]|
101353,|[40.74794952958794,-73.96914730053186]|
101354,|[40.7487075956609,-73.96903087063097]|
101360,|[40.752426645449845,-73.96591938349025]|
101361,|[40.75319463729614,-73.96502495965731]|
101362,|[40.75379562768069,-73.96525680524945]|
